alternative_motive_power,basic_colour,body_type,cc_rating,chassis7,class,engine_number,first_nz_registration_year,first_nz_registration_month,gross_vehicle_mass,height,import_status,industry_class,industry_model_code,make,model,motive_power,mvma_model_code,number_of_axles,number_of_seats,nz_assembled,original_country,power_rating,previous_country,road_transport_code,submodel,tla,postcode,transmission_type,vdam_weight,vehicle_type,vehicle_usage,vehicle_year,vin11,width,synthetic_greenhouse_gas,fc_combined,fc_urban,fc_extra_urban
,BLUE,TRACTOR,3500,B241599,,6861604122,1975.0,5.0,3501.0,0,NEW,CONSTRUCTING,,FORD,4000,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIMAKARIRI DISTRICT,7473,,0,TRACTOR,OTHER,1975,,0,,,,
,RED,TRACTOR,6000,600257,,2990280,1976.0,3.0,1999.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,TRACTOR,MASSEY FERGU,PETROL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,CENTRAL OTAGO DISTRICT,9571,,0,TRACTOR,OTHER,1964,,0,,,,
,YELLOW,TRACTOR,3470,836454,,2129A195774,1977.0,10.0,3501.0,0,NEW,ELECTRICITY/GAS/WATER,,MASSEY,,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,NEW PLYMOUTH DISTRICT,0,,0,TRACTOR,OTHER,1977,,0,,,,
,GREEN,TRACTOR,3900,309299L,,359896CD,1983.0,7.0,0.0,0,NEW,UNKNOWN,,JOHN DEERE,2130,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,SELWYN DISTRICT,0,,0,TRACTOR,OTHER,1979,,0,,,,
,RED,TRACTOR,3430,A13003,,2D22475U625985,1980.0,7.0,0.0,0,NEW,AGRICULTURE/FORESTRY/FISHING,,MASSEY,FERGUSON,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,INVERCARGILL CITY,9879,,0,TRACTOR,OTHER,1980,,0,,,,
,BLUE,TRACTOR,4195,B434776,,7211683G06,1984.0,8.0,0.0,0,NEW,PRIVATE,,FORD,5610,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,TIMARU DISTRICT,7984,,0,TRACTOR,OTHER,1984,,0,,,,
,RED,TRACTOR,2186,129086,,SF50657EHD,1986.0,4.0,0.0,0,RE-REG,UNKNOWN,,MASSEY,FERGUSON 135,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,CLUTHA DISTRICT,0,,0,TRACTOR,OTHER,1972,,0,,,,
,RED,TRACTOR,0,P32349,,CU312194850489T,1990.0,2.0,0.0,0,NEW,UNKNOWN,,MASSEY FERGUSON,240,DIESEL,,0,0,UNKNOWN,OTHER,0,NONE,,,THAMES-COROMANDEL DISTRICT,0,,0,TRACTOR,OTHER,1990,,0,,,,
,GREY,TRACTOR,2300,TEA3197,,,1994.0,1.0,0.0,0,RE-REG,UNKNOWN,,FERGUSON,TEA,PETROL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,TASMAN DISTRICT,7120,,0,TRACTOR,OTHER,1958,,0,,,,
,GREEN,TRACTOR,3900,LO2250U,,CD4239D973098,1994.0,4.0,0.0,0,NEW,PRIVATE,,JOHN DEERE,2250 MFWD,DIESEL,,0,0,UNKNOWN,NEW ZEALAND,0,NONE,,,SOUTH WAIKATO DISTRICT,3482,,0,TRACTOR,OTHER,1993,,0,,,,
,BLUE,TRACTOR,3294,B210422,,5316013F26,1994.0,9.0,0.0,0,RE-REG,PRIVATE,,FORD,4000 D10140,DIESEL,,0,0,UNKNOWN,UNITED KINGDOM,0,NONE,,,OTOROHANGA DISTRICT,0,,0,TRACTOR,OTHER,1976,,0,,,,
,BLUE,TRACTOR,3293,PD24603,,,1967.0,12.0,0.0,0,NEW,UNKNOWN,,FORD,4000,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,TIMARU DISTRICT,7973,,0,TRACTOR,OTHER,1967,,0,,,,
,RED,TRACTOR,2500,110181,,152UA105337,1969.0,3.0,0.0,0,NEW,UNKNOWN,,MASSEY,135,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,HASTINGS DISTRICT,4175,,0,TRACTOR,AGRICULTURAL,1969,,0,,,,
,RED,TRACTOR,2903,2210114,,,1972.0,8.0,0.0,0,NEW,PRIVATE,,INTERNATIONAL,454,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,TIMARU DISTRICT,7984,,0,TRACTOR,OTHER,1971,,0,,,,
,RED,TRACTOR,2180,SNM1720,,1803693,1960.0,3.0,0.0,0,NEW,UNKNOWN,,FERGUSON,35,PETROL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,RANGITIKEI DISTRICT,0,,0,TRACTOR,OTHER,1960,,0,,,,
,RED,TRACTOR,2000,,,SNM179829,1982.0,12.0,0.0,0,NEW,UNKNOWN,,FERGUSON,35D,DIESEL,,0,0,UNKNOWN,NOT KNOWN,0,NONE,,,WAIPA DISTRICT,0,,0,TRACTOR,OTHER,1966,,0,,,,
