region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central,region_key_upper,fleet_share_pct,diesel_share_pct,def_share_pct,fleet_to_diesel_share_ratio,def_to_diesel_share_ratio,is_urban_hint,admin_bias_flag
RANGITIKEI DISTRICT,2337476.6882684147,352.9365159755315,635514.4188864813,19065.43256659444,25420.576755459253,31775.720944324068,172817.74703327235,30908.132821234554,183812.85046890893,1092907.2570264498,462696.671853209,308027.5331771075,86306.49588823288,352.9365159755315,2337476.6882684147,2.337476688268415,635514.4188864813,0.6355144188864813,0.0254205767554592,0.0112921626194274,0.0114694627035721,0.0121050307147902,RANGITIKEI DISTRICT,1.12921626194274,1.14694627035721,1.21050307147902,0.9845415527538635,1.0554139306822243,False,False
WHAKATANE DISTRICT,2137458.978949544,328.4003380044102,539603.932281209,16188.11796843627,21584.15729124836,26980.196614060453,144566.1380668771,33397.44653644193,191712.08705278143,1032542.8801208632,395037.794214332,271668.159053568,68534.47390468042,328.4003380044102,2137458.978949544,2.137458978949544,539603.932281209,0.5396039322812091,0.0215841572912483,0.0105071304701093,0.0104880216185763,0.0102781651839316,WHAKATANE DISTRICT,1.05071304701093,1.04880216185763,1.02781651839316,1.0018219691213408,0.9799908464840495,False,False
HURUNUI DISTRICT,2075917.867712996,323.0483083805041,493300.1534930341,14799.004604791022,19732.006139721365,24665.007674651704,131310.3366049254,31700.648535667984,199356.17827543325,1024433.7302146452,361989.8168881087,255932.22233809752,71194.93485611788,323.0483083805041,2075917.867712996,2.075917867712996,493300.1534930341,0.4933001534930341,0.0197320061397213,0.0103358929072006,0.0101860534819071,0.0093961888702804,HURUNUI DISTRICT,1.0335892907200601,1.01860534819071,0.93961888702804,1.014710253147566,0.9224562669899887,False,False
KAIPARA DISTRICT,1810338.963274492,296.01092131368426,367910.1576669832,11037.304730009497,14716.406306679328,18395.50788334916,94105.09648426445,36415.10406127159,206201.80251090656,894184.9907346945,273805.0611827187,205085.19650901185,100541.71179162445,296.01092131368426,1810338.963274492,1.810338963274492,367910.1576669832,0.3679101576669832,0.0147164063066793,0.0094708348649092,0.0088829186294396,0.0070078091487608,KAIPARA DISTRICT,0.9470834864909201,0.8882918629439599,0.70078091487608,1.0661850299428772,0.7889084028683605,False,False
WELLINGTON CITY,2092646.0661883145,291.4565910845867,666812.3071832261,20004.369215496783,26672.492287329045,33340.615359161304,182155.0440658861,11389.88095679229,97401.70868377484,982141.86436198,484657.26311734,314423.8262761773,20476.47872636382,291.4565910845867,2092646.0661883145,2.0926460661883146,666812.3071832261,0.6668123071832261,0.026672492287329,0.0093251196009972,0.0102681349201835,0.0127011806806776,WELLINGTON CITY,0.9325119600997199,1.02681349201835,1.27011806806776,0.9081609925739612,1.2369510898918554,True,False
HAURAKI DISTRICT,1830579.2605902727,288.31324739714904,451289.3729538431,13538.681188615292,18051.574918153725,22564.46864769216,121016.30857855758,48668.62854340741,159087.2545480783,846723.1043178887,330273.06437528547,226885.6535954945,97925.24663156085,288.31324739714904,1830579.2605902727,1.8305792605902729,451289.3729538431,0.4512893729538431,0.0180515749181537,0.0092245486867375,0.0089822331322698,0.0085959839124287,HAURAKI DISTRICT,0.9224548686737499,0.89822331322698,0.85959839124287,1.0269772061022497,0.9569985309718302,False,False
OTOROHANGA DISTRICT,1753482.9923406693,268.1601323338539,454731.69217866205,13641.95076535986,18189.267687146483,22736.584608933103,122412.2659807026,24212.388009547376,121992.05670508774,817610.2621997746,332319.42619795946,228197.6144243745,106738.97882322285,268.1601323338539,1753482.9923406693,1.7534829923406692,454731.69217866205,0.454731692178662,0.0181892676871464,0.0085797521233846,0.008603939403091,0.0086615518660552,OTOROHANGA DISTRICT,0.8579752123384601,0.8603939403091,0.8661551866055199,0.9971888133361667,1.0066960563371126,False,False
TAUPO DISTRICT,1831842.4403939235,263.8735117389749,537643.9729611243,16129.319188833728,21505.75891844497,26882.19864805621,145599.9687035784,17801.13448316983,108011.1793099295,875074.8352043006,392044.0042575459,262149.0001119118,31162.318323487587,263.8735117389749,1831842.4403939235,1.8318424403939235,537643.9729611243,0.5376439729611243,0.0215057589184449,0.0084426021979614,0.0089884312662313,0.0102408326434506,TAUPO DISTRICT,0.84426021979614,0.89884312662313,1.02408326434506,0.9392742679892842,1.1393348116177353,False,False
THAMES-COROMANDEL DISTRICT,1538580.289824006,244.2606152913164,356823.7344685892,10704.712034057677,14272.949378743568,17841.18672342946,95340.34825886416,18217.71172088504,139391.15674665765,727792.7261770759,261483.38620972505,184307.63021080755,112047.33049999096,244.2606152913164,1538580.289824006,1.538580289824006,356823.7344685892,0.3568237344685891,0.0142729493787435,0.0078150898661394,0.0075494610659241,0.006796639284875,THAMES-COROMANDEL DISTRICT,0.7815089866139401,0.75494610659241,0.6796639284875,1.0351851341302052,0.9002813877076469,False,False
NAPIER CITY,1552599.9340525514,238.3562401268544,392143.16384529753,11764.294915358923,15685.7265538119,19607.15819226488,103444.48821909713,25004.90372398081,126698.00311539212,744809.4074189442,288698.67562620045,198984.49880273765,64959.957146199005,238.3562401268544,1552599.9340525514,1.5525999340525514,392143.16384529753,0.3921431638452975,0.0156857265538119,0.007626180072153,0.0076182522489137,0.0074693899963114,NAPIER CITY,0.7626180072153,0.7618252248913701,0.74693899963114,1.0010406354345158,0.9804597894978435,True,False
