tla,tier_assigned,annual_diesel_litres
MACKENZIE DISTRICT,Tier 4i,162676.44767746262
GORE DISTRICT,Unregulated,161069.66238977876
WAIMATE DISTRICT,Stage V,160280.87129458203
SOUTH WAIKATO DISTRICT,Tier 2,160217.841292405
WESTERN BAY OF PLENTY DISTRICT,Unregulated,160199.6023741087
HAURAKI DISTRICT,Tier 2,159087.2545480783
MASTERTON DISTRICT,Tier 4i,153366.67485267285
HOROWHENUA DISTRICT,Stage V,150517.8723659212
SOUTH WAIRARAPA DISTRICT,Tier 4i,150174.83229480614
CARTERTON DISTRICT,Tier 4f,149435.25173220213
BULLER DISTRICT,Tier 4f,147170.6722344724
WAIKATO DISTRICT,Unregulated,145989.52692293082
TAUPO DISTRICT,Stage V,145599.9687035784
,Tier 4f,144599.97432593314
WHAKATANE DISTRICT,Stage V,144566.1380668771
THAMES-COROMANDEL DISTRICT,Tier 2,139391.15674665765
TIMARU DISTRICT,Tier 1,138995.1604833123
DUNEDIN CITY,Unregulated,138821.63806680776
STRATFORD DISTRICT,Tier 4i,137350.84158022056
FAR NORTH DISTRICT,Stage V,136472.32964441745
SOUTHLAND DISTRICT,Tier 1,136394.08019619784
TASMAN DISTRICT,Tier 1,136353.44143520086
CLUTHA DISTRICT,Unregulated,131666.31943679156
HURUNUI DISTRICT,Stage V,131310.3366049254
GREY DISTRICT,Tier 4f,130918.229515705
WHANGANUI DISTRICT,Tier 4i,129434.55496293044
RUAPEHU DISTRICT,Tier 4i,129175.50433744042
CENTRAL HAWKE'S BAY DISTRICT,Tier 2,128308.31227120147
MASTERTON DISTRICT,Tier 2,127849.82753677979
WAITOMO DISTRICT,Tier 4i,127461.06086467786
NAPIER CITY,Tier 2,126698.00311539213
SOUTH TARANAKI DISTRICT,Unregulated,126395.67843834388
TAURANGA CITY,Unregulated,124548.71148509579
OTOROHANGA DISTRICT,Stage V,122412.2659807026
OTOROHANGA DISTRICT,Tier 2,121992.05670508774
HOROWHENUA DISTRICT,Unregulated,121888.25053365831
OPOTIKI DISTRICT,Tier 4f,121854.64141405394
HAURAKI DISTRICT,Stage V,121016.30857855758
LOWER HUTT CITY,Tier 3,121003.1321271867
FAR NORTH DISTRICT,Unregulated,119328.35139107541
QUEENSTOWN-LAKES DISTRICT,Tier 2,116356.62580080691
NELSON CITY,Tier 4f,115942.62910749682
UPPER HUTT CITY,Tier 3,113155.42236765067
THAMES-COROMANDEL DISTRICT,Unregulated,112047.33049999095
WESTLAND DISTRICT,Tier 4f,110105.17423482894
STRATFORD DISTRICT,Tier 2,109694.12406882842
TAUPO DISTRICT,Tier 2,108011.1793099295
OTOROHANGA DISTRICT,Unregulated,106738.97882322283
CENTRAL HAWKE'S BAY DISTRICT,Stage V,105105.44188974382
KAPITI COAST DISTRICT,Tier 4f,104178.67169604321
WHANGANUI DISTRICT,Tier 2,103964.63309431548
CARTERTON DISTRICT,Tier 4i,103710.90345727725
NAPIER CITY,Stage V,103444.48821909713
RUAPEHU DISTRICT,Tier 2,102870.62642499935
SOUTH WAIRARAPA DISTRICT,Tier 2,102764.26283937252
TARARUA DISTRICT,Unregulated,102363.53829265888
BULLER DISTRICT,Tier 4i,101916.18108455419
WAIMATE DISTRICT,Unregulated,100604.56292215853
KAIPARA DISTRICT,Unregulated,100541.71179162443
MACKENZIE DISTRICT,Tier 2,99672.7536658446
HAURAKI DISTRICT,Unregulated,97925.24663156083
CHRISTCHURCH CITY,Tier 1,97530.30118071586
WELLINGTON CITY,Tier 2,97401.70868377484
CENTRAL OTAGO DISTRICT,Unregulated,96979.76525924982
THAMES-COROMANDEL DISTRICT,Stage V,95340.34825886415
KAIPARA DISTRICT,Stage V,94105.09648426445
,Tier 4i,92935.16494798311
GREY DISTRICT,Tier 4i,89594.38948457141
SELWYN DISTRICT,Tier 1,88324.92327332283
WAITAKI DISTRICT,Tier 1,86932.93593835701
RANGITIKEI DISTRICT,Unregulated,86306.49588823288
WESTLAND DISTRICT,Tier 4i,86139.99571349952
OPOTIKI DISTRICT,Tier 4i,85741.18674689526
INVERCARGILL CITY,Tier 1,84027.04498543443
PALMERSTON NORTH CITY,Tier 1,83935.59779402582
QUEENSTOWN-LAKES DISTRICT,Stage V,83892.53960943934
MANAWATU DISTRICT,Unregulated,81861.91911408142
MACKENZIE DISTRICT,Stage V,81665.12900752207
GISBORNE DISTRICT,Tier 1,81385.325937323
KAPITI COAST DISTRICT,Tier 2,81182.9819034922
KAPITI COAST DISTRICT,Unregulated,80929.00796787726
NELSON CITY,Tier 4i,80283.0433194913
MASTERTON DISTRICT,Stage V,80224.40866390732
CARTERTON DISTRICT,Tier 2,80041.24775709752
MARLBOROUGH DISTRICT,Tier 1,78774.07598079389
NEW PLYMOUTH DISTRICT,Tier 1,78540.39312589588
GREY DISTRICT,Tier 2,78053.54306412034
OPOTIKI DISTRICT,Tier 2,77265.55438161359
SOUTH WAIRARAPA DISTRICT,Stage V,76423.75951870621
FAR NORTH DISTRICT,Tier 1,75654.82155347179
WAIKATO DISTRICT,Tier 1,75543.0549815647
KAPITI COAST DISTRICT,Tier 4i,73853.22686618412
WAIPA DISTRICT,Tier 1,72809.88874204468
HASTINGS DISTRICT,Tier 1,71204.53793267932
HURUNUI DISTRICT,Unregulated,71194.93485611788
MATAMATA-PIAKO DISTRICT,Tier 1,70798.11040604798
WAIMAKARIRI DISTRICT,Tier 1,70696.51350355554
WESTERN BAY OF PLENTY DISTRICT,Tier 1,70168.16969393325
WHANGANUI DISTRICT,Stage V,70138.0858820946
WAITOMO DISTRICT,Stage V,68998.78607041221
WHAKATANE DISTRICT,Unregulated,68534.47390468042
RUAPEHU DISTRICT,Stage V,68380.18381866348
WESTLAND DISTRICT,Tier 2,68351.09563104583
STRATFORD DISTRICT,Stage V,66852.84662003763
WAITOMO DISTRICT,Tier 2,65979.16089390416
NELSON CITY,Tier 2,65841.23742643734
NAPIER CITY,Unregulated,64959.957146199005
PORIRUA CITY,Tier 4f,64431.281041955954
