region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central,diesel_per_active_tractor_l,scr_share_of_regional_diesel,def_central_per_active_tractor_l,rank_diesel,rank_def_central,rank_active_fleet
WAIKATO DISTRICT,4795341.988475543,733.0244464761621,1199300.4475800977,35979.013427402926,47972.0179032039,59965.02237900488,315134.42920369154,75543.0549815647,404268.6327911319,2347670.755456335,884166.0183764059,622569.570743484,145989.52692293082,733.0244464761621,4795341.988475543,4.795341988475544,1199300.4475800977,1.1993004475800977,0.0479720179032039,0.0234530315763599,0.0235296447505696,0.022843807036913,6541.858203403708,0.2500969587700584,65.443953655049,14.0,13.0,14.0
WAITAKI DISTRICT,4430342.683132398,695.7185928295519,1075200.5182717298,32256.01554815189,43008.0207308692,53760.02591358649,284220.3325005894,86932.93593835701,408694.6051651855,2094862.1031173088,790980.1857711406,551962.9165393462,212689.60410047,695.7185928295519,4430342.683132398,4.430342683132398,1075200.5182717298,1.07520051827173,0.0430080207308692,0.0222594351448042,0.0217386767633919,0.0204799999991227,6368.009607323824,0.24269014728032903,61.81812757935877,15.0,17.0,15.0
WHANGAREI DISTRICT,4137983.852561667,622.474158220621,1160278.7808322627,34808.36342496788,46411.15123329051,58013.939041613135,322658.8716669521,59438.71849916882,309297.07907076715,1893058.2572011843,837619.9091653106,544186.9405366487,171724.0764216355,622.474158220621,4137983.852561667,4.137983852561667,1160278.7808322627,1.1602787808322628,0.0464111512332905,0.0199159880115826,0.0203041389474126,0.0221005375524024,6647.639581360835,0.280397126275391,74.55916140512485,16.0,15.0,16.0
GORE DISTRICT,4124921.625298516,621.708268833004,1094789.7251794224,32843.69175538267,43791.589007176895,54739.48625897113,291410.5516796403,61379.36902425542,293642.355307957,1962341.4208099127,803379.1734997821,551699.0925871893,161069.66238977876,621.708268833004,4124921.625298516,4.124921625298516,1094789.7251794224,1.0947897251794223,0.0437915890071769,0.0198914834700518,0.0202400455901731,0.0208531275698732,6634.818663488782,0.2654086124848963,70.43752062261807,17.0,16.0,17.0
SELWYN DISTRICT,3797852.3982735546,605.2364023843221,898637.2111773636,26959.11633532091,35945.48844709455,44931.86055886818,240033.6767177843,88324.92327332283,331836.3568932145,1756072.7738910122,658603.5344595794,457826.6676640241,265154.46537461755,605.2364023843221,3797852.3982735546,3.797852398273555,898637.2111773636,0.8986372111773636,0.0359454884470945,0.0193644680262973,0.0186351918093091,0.0171168910090433,6274.990042423022,0.23661720281332427,59.39082366078386,18.0,19.0,18.0
WESTERN BAY OF PLENTY DISTRICT,3746247.2642862727,570.1393602762987,1057493.967263568,31724.81901790704,42299.75869054272,52874.6983631784,292710.5169880315,70168.16969393325,302740.0964473825,1666304.6625384325,764783.4502755365,489340.7659688474,160199.6023741087,570.1393602762987,3746247.2642862727,3.7462472642862727,1057493.967263568,1.057493967263568,0.0422997586905427,0.0182415422620158,0.018381977237138,0.0201427325234573,6570.757125890731,0.28228087807894325,74.19196364559633,19.0,18.0,19.0
SOUTH TARANAKI DISTRICT,3536371.306314163,554.1043118424678,844696.659293036,25340.89977879108,33787.86637172144,42234.8329646518,223301.68836697165,64305.57935767647,349956.1556030564,1716266.3640446635,621394.9709260644,434750.86957738665,126395.67843834388,554.1043118424678,3536371.306314163,3.536371306314163,844696.659293036,0.844696659293036,0.0337878663717214,0.0177285027596432,0.0173521639840608,0.0160894524208259,6382.140024421169,0.23885971978814463,60.977447115277656,20.0,22.0,20.0
CLUTHA DISTRICT,3503162.937645409,536.8436572920551,883958.5262500417,26518.75578750125,35358.34105000167,44197.92631250209,232995.7843574031,43110.84887295876,299583.85009989707,1690486.7556003276,650962.7418926386,454356.6373853923,131666.31943679156,536.8436572920551,3503162.937645409,3.503162937645409,883958.5262500417,0.8839585262500417,0.0353583410500016,0.0171762501326735,0.0171892181254757,0.0168372971452104,6525.480724343565,0.25233154779953776,65.86338605238632,21.0,20.0,21.0
NEW PLYMOUTH DISTRICT,3186451.35092871,522.8698128912623,637134.0157966004,19114.02047389801,25485.360631864016,31856.70078983002,163571.29639094393,78540.39312589588,350404.4182215103,1573602.4405213178,473562.7194056565,356322.2183728331,190447.8648905524,522.8698128912623,3186451.35092871,3.18645135092871,637134.0157966004,0.6371340157966003,0.025485360631864,0.0167291586126697,0.015635186913157,0.0121358801648733,6094.158186927832,0.19995096288255082,48.74131189739198,22.0,31.0,22.0
GISBORNE DISTRICT,3139883.170848878,499.9477273352256,732972.0002837434,21989.1600085123,29318.88001134973,36648.60001418717,193729.12693915985,81385.325937323,289468.670177198,1482533.6119800075,539242.8733445837,376390.57256334793,177132.9899072582,499.9477273352256,3139883.170848878,3.139883170848878,732972.0002837434,0.7329720002837433,0.0293188800113497,0.0159957691617092,0.0154066875200809,0.0139613647036713,6280.42293058274,0.23343925885165398,58.64389096760664,23.0,25.0,24.0
CENTRAL OTAGO DISTRICT,3072535.368262651,466.6735547544266,798846.9146038337,23965.40743811501,31953.87658415335,39942.345730191686,209715.1806728596,36303.33748936451,256922.42196987488,1475411.5927857668,589131.733930974,408071.3361545613,96979.76525924982,466.6735547544266,3072535.368262651,3.072535368262651,798846.9146038337,0.7988469146038337,0.0319538765841533,0.0149311658951112,0.0150762272789983,0.0152161243715575,6583.907180854684,0.25999600292820635,68.47158202690123,24.0,23.0,25.0
WAIMAKARIRI DISTRICT,3047790.0302933934,504.4931447955505,652242.3794149912,19567.271382449737,26089.69517659965,32612.118970749565,173445.86649708485,70696.51350355554,315506.606494062,1392160.6483510495,478796.5129179064,337869.6226083669,279314.2599213681,504.4931447955505,3047790.0302933934,3.0477900302933936,652242.3794149912,0.6522423794149912,0.0260896951765996,0.016141199262625,0.014954807573574,0.0124236583807811,6041.29126775059,0.21400502427399948,51.71466737605054,25.0,29.0,23.0
ROTORUA DISTRICT,2966561.0073546087,429.3775589953328,860055.4434009755,25801.663302029265,34402.21773603902,43002.77217004878,232583.74894702123,23968.535485234723,184336.9184287932,1422862.288609277,627471.6944539542,416606.5568809948,58731.26454933353,429.3775589953328,2966561.0073546087,2.966561007354609,860055.4434009755,0.8600554434009755,0.034402217736039,0.0137378848655156,0.0145562353637548,0.0163820005485209,6908.980092708698,0.2899166547624512,80.12113585193897,26.0,21.0,26.0
DUNEDIN CITY,2710703.263443168,429.1766313633356,624952.5973593087,18748.577920779266,24998.10389437235,31247.62986796544,163546.3420684748,54328.0051163485,254901.5442892041,1308384.9461439196,461406.255290834,329314.5324675788,138821.63806680776,429.1766313633356,2710703.263443168,2.710703263443168,624952.5973593087,0.6249525973593087,0.0249981038943723,0.0137314562093904,0.0133008000193337,0.0119038532588725,6316.055128240009,0.2305499852335318,58.246656661996155,27.0,33.0,27.0
SOUTH WAIKATO DISTRICT,2628109.140136822,382.18327962106935,743875.7337937362,22316.27201381209,29755.02935174945,37193.786689686814,197394.02477928463,30227.38367870821,160217.841292405,1273723.780367781,546481.7090144516,371086.06490577786,48978.336098413936,382.18327962106935,2628109.140136822,2.628109140136822,743875.7337937362,0.7438757337937362,0.0297550293517494,0.0122279094073859,0.0128955295746911,0.014169054765646,6876.567553511405,0.2830459825405155,77.85539278759445,28.0,24.0,31.0
MANAWATU DISTRICT,2545036.6168247657,383.8542421377172,665006.6250174436,19950.198750523305,26600.265000697746,33250.33125087218,175604.3741607728,31040.218773640125,196703.18181032533,1230971.096114535,489402.2508566707,339453.5759947406,81861.91911408142,383.8542421377172,2545036.6168247657,2.5450366168247656,665006.6250174436,0.6650066250174436,0.0266002650006977,0.0122813716580028,0.0124879117307993,0.0126667867512429,6630.216205638991,0.26129550381366146,69.2978273538376,29.0,28.0,29.0
TAURANGA CITY,2538127.453650063,382.90321117359457,713739.9696356533,21412.1990890696,28549.598785426133,35686.99848178267,197005.1730666317,36526.87063317867,182613.3610320472,1144524.535699331,516734.79656902165,336174.005164757,124548.7114850958,382.90321117359457,2538127.453650063,2.538127453650063,713739.9696356533,0.7137399696356533,0.0285495987854261,0.012250943533349,0.0124540100496647,0.013595040486967,6628.639770010618,0.2812073005274928,74.56087583575457,30.0,26.0,30.0
FAR NORTH DISTRICT,2508542.869588297,412.1981170378139,523738.2333738451,15712.147001215351,20949.529334953804,26186.911668692257,136472.32964441745,75654.82155347179,294915.6012790158,1214809.7287840128,387265.90372942766,280096.1332068758,119328.3513910754,412.1981170378139,2508542.869588297,2.5085428695882968,523738.2333738451,0.5237382333738451,0.0209495293349538,0.0131882306259731,0.0123088452721078,0.0099759615409022,6085.7698419766675,0.20878185488606033,50.823932640701386,31.0,38.0,28.0
TARARUA DISTRICT,2451797.34571993,378.705649823266,642865.4950471334,19285.964851414003,25714.619801885336,32143.274752356672,174239.79716107465,49481.46363833932,213372.30466137463,1130202.7771407,468625.6978860587,313511.7669397235,102363.53829265888,378.705649823266,2451797.34571993,2.4517973457199296,642865.4950471334,0.6428654950471334,0.0257146198018853,0.0121166430480566,0.0120304079842112,0.0122450511455892,6474.150430193297,0.26220172567254596,67.90133660241344,32.0,30.0,33.0
HOROWHENUA DISTRICT,2420545.2086886894,382.0303802628414,573893.0408663431,17216.79122599029,22955.721634653724,28694.65204331716,150517.8723659212,41129.559586875184,231728.1693350396,1152033.347185546,423375.1685004219,299872.841181227,121888.25053365833,382.0303802628414,2420545.2086886894,2.4205452086886896,573893.0408663431,0.5738930408663431,0.0229557216346537,0.0122230174102721,0.0118770609061908,0.0109312907468938,6336.001882947963,0.2370924694181791,60.08873330665455,33.0,35.0,32.0
WAIMATE DISTRICT,2351741.345819783,363.9157421872828,596263.9391507102,17887.918174521306,23850.55756602841,29813.196957535514,160280.87129458203,53383.08406901102,195407.7111055667,1107004.1136214433,435983.0678561282,299077.93495089334,100604.56292215853,363.9157421872828,2351741.345819783,2.351741345819783,596263.9391507102,0.5962639391507102,0.0238505575660284,0.0116434416801273,0.0115394561108158,0.0113574028897532,6462.323755726678,0.2535414620364474,65.53868052719228,34.0,34.0,34.0
RANGITIKEI DISTRICT,2337476.6882684147,352.9365159755315,635514.4188864813,19065.43256659444,25420.576755459253,31775.720944324068,172817.74703327235,30908.132821234554,183812.85046890893,1092907.2570264498,462696.671853209,308027.5331771075,86306.49588823288,352.9365159755315,2337476.6882684147,2.337476688268415,635514.4188864813,0.6355144188864813,0.0254205767554592,0.0112921626194274,0.0114694627035721,0.0121050307147902,6622.938070909239,0.27188053770806403,72.02591855704034,35.0,32.0,35.0
WHAKATANE DISTRICT,2137458.978949544,328.4003380044102,539603.932281209,16188.11796843627,21584.15729124836,26980.196614060453,144566.1380668771,33397.44653644193,191712.08705278143,1032542.8801208632,395037.794214332,271668.159053568,68534.47390468042,328.4003380044102,2137458.978949544,2.137458978949544,539603.932281209,0.5396039322812091,0.0215841572912483,0.0105071304701093,0.0104880216185763,0.0102781651839316,6508.699083375607,0.25245112893179256,65.72513725901963,36.0,36.0,36.0
WELLINGTON CITY,2092646.0661883145,291.4565910845867,666812.3071832261,20004.369215496783,26672.492287329045,33340.615359161304,182155.0440658861,11389.88095679229,97401.70868377484,982141.86436198,484657.26311734,314423.8262761773,20476.47872636382,291.4565910845867,2092646.0661883145,2.0926460661883146,666812.3071832261,0.6668123071832261,0.026672492287329,0.0093251196009972,0.0102681349201835,0.0127011806806776,7179.957942968548,0.31864552633011783,91.51445911061279,37.0,27.0,39.0
HURUNUI DISTRICT,2075917.867712996,323.0483083805041,493300.1534930341,14799.004604791022,19732.006139721365,24665.007674651704,131310.3366049254,31700.648535667984,199356.17827543325,1024433.7302146452,361989.8168881087,255932.22233809752,71194.93485611788,323.0483083805041,2075917.867712996,2.075917867712996,493300.1534930341,0.4933001534930341,0.0197320061397213,0.0103358929072006,0.0101860534819071,0.0093961888702804,6426.029215630083,0.23762989912336688,61.0806669709592,38.0,39.0,37.0
TAUPO DISTRICT,1831842.4403939235,263.8735117389749,537643.9729611243,16129.319188833728,21505.75891844497,26882.19864805621,145599.9687035784,17801.13448316983,108011.1793099295,875074.8352043006,392044.0042575459,262149.0001119118,31162.318323487587,263.8735117389749,1831842.4403939235,1.8318424403939235,537643.9729611243,0.5376439729611243,0.0215057589184449,0.0084426021979614,0.0089884312662313,0.0102408326434506,6942.1232480734625,0.29349902650225096,81.50025660672796,39.0,37.0,42.0
HAURAKI DISTRICT,1830579.2605902727,288.31324739714904,451289.3729538431,13538.681188615292,18051.574918153725,22564.46864769216,121016.30857855758,48668.62854340741,159087.2545480783,846723.1043178887,330273.06437528547,226885.6535954945,97925.24663156085,288.31324739714904,1830579.2605902727,1.8305792605902729,451289.3729538431,0.4512893729538431,0.0180515749181537,0.0092245486867375,0.0089822331322698,0.0085959839124287,6349.272109819724,0.24652817972400945,62.610979832251026,40.0,41.0,40.0
KAIPARA DISTRICT,1810338.963274492,296.01092131368426,367910.1576669832,11037.304730009497,14716.406306679328,18395.50788334916,94105.09648426445,36415.10406127159,206201.80251090656,894184.9907346945,273805.0611827187,205085.19650901185,100541.71179162445,296.01092131368426,1810338.963274492,1.810338963274492,367910.1576669832,0.3679101576669832,0.0147164063066793,0.0094708348649092,0.0088829186294396,0.0070078091487608,6115.78436106439,0.20322722160358153,49.71575454502994,41.0,44.0,38.0
OTOROHANGA DISTRICT,1753482.9923406693,268.1601323338539,454731.69217866205,13641.95076535986,18189.267687146483,22736.584608933103,122412.2659807026,24212.388009547376,121992.05670508774,817610.2621997746,332319.42619795946,228197.6144243745,106738.97882322285,268.1601323338539,1753482.9923406693,1.7534829923406692,454731.69217866205,0.454731692178662,0.0181892676871464,0.0085797521233846,0.008603939403091,0.0086615518660552,6538.9399128041105,0.2593305405099225,67.8298728779755,42.0,40.0,41.0
NAPIER CITY,1552599.9340525514,238.3562401268544,392143.16384529753,11764.294915358923,15685.7265538119,19607.15819226488,103444.48821909713,25004.90372398081,126698.00311539212,744809.4074189442,288698.67562620045,198984.49880273765,64959.957146199005,238.3562401268544,1552599.9340525514,1.5525999340525514,392143.16384529753,0.3921431638452975,0.0156857265538119,0.007626180072153,0.0076182522489137,0.0074693899963114,6513.779262612339,0.25257193127770966,65.80791233098775,43.0,42.0,44.0
THAMES-COROMANDEL DISTRICT,1538580.289824006,244.2606152913164,356823.7344685892,10704.712034057677,14272.949378743568,17841.18672342946,95340.34825886416,18217.71172088504,139391.15674665765,727792.7261770759,261483.38620972505,184307.63021080755,112047.33049999096,244.2606152913164,1538580.289824006,1.538580289824006,356823.7344685892,0.3568237344685891,0.0142729493787435,0.0078150898661394,0.0075494610659241,0.006796639284875,6298.929067991679,0.23191752606515276,58.43328185234007,44.0,45.0,43.0
CENTRAL HAWKE'S BAY DISTRICT,1400534.2712112344,211.98485858825947,381599.187863667,11447.975635910008,15263.96751454668,19079.959393183348,105105.44188974382,16652.999672516664,128308.31227120147,657829.1560352057,276493.7459739231,184105.95191643247,32038.66345221106,211.98485858825947,1400534.2712112344,1.4005342712112343,381599.187863667,0.381599187863667,0.0152639675145466,0.0067824307989737,0.006872100872429,0.007268552455383,6606.765598912456,0.272466869042516,72.00498948933883,45.0,43.0,45.0
QUEENSTOWN-LAKES DISTRICT,1359259.2702183127,210.067848005876,321181.1112077174,9635.43333623152,12847.244448308697,16059.05556038587,83892.53960943934,15067.968243649808,116356.62580080693,675279.6746642708,237288.57159827807,171778.85084991757,59595.039451950186,210.067848005876,1359259.2702183127,1.3592592702183128,321181.1112077174,0.3211811112077173,0.0128472444483086,0.0067210962692224,0.0066695738967145,0.0061177325024223,6470.572641750925,0.2362912788199208,61.15759536866032,46.0,46.0,46.0
MASTERTON DISTRICT,1261319.1786322347,197.96278148443693,301264.9398712507,9037.94819613752,12050.597594850027,15063.246993562536,80224.40866390732,14692.02976693158,127849.8275367798,609001.5290398544,221040.5312073434,153366.67485267285,55144.1775647453,197.96278148443693,1261319.1786322347,1.2613191786322346,301264.9398712507,0.3012649398712507,0.01205059759485,0.0063337960792683,0.0061890043007613,0.0057383770407927,6371.496546846583,0.23884909147099484,60.873046460995354,47.0,48.0,47.0
MACKENZIE DISTRICT,1234564.2757044004,187.645366454614,312681.91797238216,9380.457539171464,12507.276718895286,15634.095898619107,81665.12900752207,20158.36224597163,99672.7536658446,604650.5292868773,231016.78896486008,162676.44767746262,34724.26485586218,187.645366454614,1234564.2757044004,1.2345642757044004,312681.91797238216,0.3126819179723821,0.0125072767188952,0.0060036915900604,0.006057724120382,0.0059558431855049,6579.241997979236,0.25327309733952613,66.65379995897926,48.0,47.0,48.0
SOUTH WAIRARAPA DISTRICT,1186689.7250214266,181.1729323792199,287562.95679299626,8626.888703789888,11502.518271719851,14378.147839649811,76423.75951870621,16236.422434801463,102764.26283937252,598795.2174490159,211139.19727429008,150174.83229480614,31156.033210434176,181.1729323792199,1186689.7250214266,1.1866897250214266,287562.95679299626,0.2875629567929962,0.0115025182717198,0.0057966068175459,0.0058228146659842,0.0054773870127357,6550.038736125999,0.24232362573780952,63.48916541044577,49.0,49.0,49.0
STRATFORD DISTRICT,1121563.5026361323,177.6673663648457,256512.7343629505,7695.382030888515,10260.50937451802,12825.636718147529,66852.84662003763,24740.73181916966,109694.12406882842,546083.4207553702,189659.8877429129,137350.84158022056,47181.65004959311,177.6673663648457,1121563.5026361323,1.1215635026361324,256512.7343629505,0.2565127343629504,0.010260509374518,0.0056844466422293,0.0055032552100882,0.0048859544896541,6312.715303793975,0.22870995156318907,57.751232454516774,50.0,52.0,50.0
WHANGANUI DISTRICT,1058641.6264701472,168.71484389683744,260046.9142799228,7801.407428397683,10401.876571196912,13002.34571399614,70138.0858820946,28662.671630339835,103964.63309431548,481338.39403346606,189908.8283978282,129434.55496293044,55194.45846917259,168.71484389683744,1058641.6264701472,1.0586416264701473,260046.9142799228,0.2600469142799228,0.0104018765711969,0.0053980117311706,0.0051945119761785,0.0049532721699067,6274.739092414805,0.24564206411097128,61.65359449674293,51.0,50.0,51.0
RUAPEHU DISTRICT,1055271.27113511,165.2359028323873,255249.64309591497,7657.489292877449,10209.985723836598,12762.482154795747,68380.18381866348,20818.79200799949,102870.62642499935,507987.8636387421,186869.45927725144,129175.50433744042,39168.841630013645,165.2359028323873,1055271.27113511,1.05527127113511,255249.64309591497,0.2552496430959149,0.0102099857238365,0.005286703418018,0.005177974414539,0.0048618956199752,6386.452659780366,0.2418805951396307,61.790358807149495,52.0,53.0,52.0
WAITOMO DISTRICT,937447.5132435096,139.82174788251135,259358.9051245394,7780.767153736181,10374.356204981576,12967.94525622697,68998.78607041221,9825.168908423915,65979.16089390416,440130.37816136895,190360.1190541272,127461.06086467786,34692.83929059512,139.82174788251135,937447.5132435096,0.9374475132435096,259358.9051245394,0.2593589051245394,0.0103743562049815,0.0044735804977781,0.0045998402224357,0.0049401672399312,6704.5901473869635,0.2766649881305609,74.19701414188305,53.0,51.0,53.0
CARTERTON DISTRICT,826652.6635896172,126.71010234723924,204786.00954928136,6143.58028647844,8191.440381971254,10239.300477464069,55350.75781707924,8656.714717272262,80041.24775709752,409882.7949632621,149435.25173220213,103710.90345727724,19574.993145426703,126.71010234723924,826652.6635896172,0.8266526635896172,204786.00954928136,0.2047860095492813,0.0081914403819712,0.0040540749298055,0.0040561952730631,0.0039006840157881,6523.968083651605,0.24772920788766145,64.64709782589546,54.0,54.0,54.0
BULLER DISTRICT,748931.9635990345,110.98841930741162,200644.53430079544,6019.336029023863,8025.781372031817,10032.226715039773,53473.86206632302,4978.627430414745,48595.0696344373,364339.68956815655,147170.6722344724,101916.1810845542,28457.861580676243,110.98841930741162,748931.9635990345,0.7489319635990345,200644.53430079544,0.2006445343007954,0.0080257813720318,0.0035510615166252,0.0036748376003593,0.0038217988109877,6747.838813026703,0.267907559101346,72.31188102429216,55.0,55.0,59.0
GREY DISTRICT,734480.4283165991,115.4198208432868,178837.72977783356,5365.131893335007,7153.509191113342,8941.886488891678,47919.50026212857,12710.740480848006,78053.54306412034,351251.8853635408,130918.229515705,89594.38948457141,24032.140145685,115.4198208432868,734480.4283165991,0.7344804283165991,178837.72977783356,0.1788377297778335,0.0071535091911133,0.0036928436913508,0.0036039272268941,0.0034064313060231,6363.555435715432,0.2434887614197192,61.97816925072252,56.0,57.0,57.0
OPOTIKI DISTRICT,728888.7409642248,117.94899746470637,164251.01830111383,4927.530549033415,6570.040732044553,8212.550915055692,42396.37688705989,21855.160246745578,77265.55438161359,344156.35596411064,121854.64141405394,85741.18674689526,35619.465323745884,117.94899746470637,728888.7409642248,0.7288887409642248,164251.01830111383,0.1642510183011138,0.0065700407320445,0.003773764402044,0.0035764900978481,0.0031285893165953,6179.694246085717,0.22534443059695386,55.70238724589787,57.0,58.0,56.0
