tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name
CENTRAL OTAGO DISTRICT,466.7035038640905,3290744.416899901,90.87567147866957,1160571.0648773655,3.290744416899901,1.1605710648773655,0.03481713194632097,0.04642284259509462,0.058028553243868276,moderate_modernization
CHRISTCHURCH CITY,910.2324161618305,6285738.475479837,171.84664229539868,2206296.9193271208,6.285738475479836,2.2062969193271207,0.06618890757981362,0.08825187677308484,0.11031484596635605,moderate_modernization
CLUTHA DISTRICT,536.8790288724092,3748425.258875606,101.03209171171402,1289731.0730155117,3.748425258875606,1.2897310730155118,0.03869193219046535,0.05158924292062047,0.06448655365077559,moderate_modernization
DUNEDIN CITY,429.20204913159955,2896561.2930856436,72.58229936077657,924109.9240011557,2.8965612930856435,0.9241099240011557,0.027723297720034668,0.03696439696004623,0.04620549620005779,moderate_modernization
FAR NORTH DISTRICT,412.21824234028065,2688726.8822362125,61.832356456587235,785289.7941638221,2.6887268822362125,0.785289794163822,0.023558693824914663,0.031411591766552886,0.0392644897081911,moderate_modernization
GISBORNE DISTRICT,499.9736045664522,3352740.6531149116,84.29663940689085,1075332.869181526,3.3527406531149118,1.0753328691815258,0.03225998607544578,0.043013314767261036,0.053766643459076294,moderate_modernization
GORE DISTRICT,621.7518611502518,4403244.164200448,123.66577739619777,1582198.5935660338,4.403244164200449,1.5821985935660337,0.047465957806981006,0.06328794374264135,0.07910992967830169,moderate_modernization
GREY DISTRICT,115.42613003486466,788901.962678039,20.37905369746254,260512.0891146245,0.788901962678039,0.26051208911462453,0.007815362673438735,0.01042048356458498,0.013025604455731227,moderate_modernization
HAMILTON CITY,861.3882938515482,6216272.544886762,182.160120659909,2341519.946941412,6.216272544886762,2.341519946941412,0.07024559840824235,0.09366079787765648,0.11707599734707061,moderate_modernization
HASTINGS DISTRICT,771.7659136619548,5626053.142419158,172.1541588971698,2220460.9514018577,5.626053142419158,2.220460951401858,0.06661382854205572,0.0888184380560743,0.11102304757009289,moderate_modernization
HAURAKI DISTRICT,288.3315059921745,1955672.1783336173,51.1804437662284,654729.3353255237,1.9556721783336173,0.6547293353255238,0.01964188005976571,0.02618917341302095,0.03273646676627619,moderate_modernization
HOROWHENUA DISTRICT,382.0555675313023,2591095.199292606,66.19579668929839,843706.1965030864,2.591095199292606,0.8437061965030863,0.02531118589509259,0.033748247860123454,0.04218530982515432,moderate_modernization
HURUNUI DISTRICT,323.0692323905395,2221861.357849451,56.98437658914172,726775.7270852246,2.2218613578494506,0.7267757270852245,0.021803271812556736,0.029071029083408983,0.03633878635426123,moderate_modernization
INVERCARGILL CITY,845.9160075431454,5970750.790352037,165.9473375455134,2124324.529329329,5.970750790352037,2.124324529329329,0.06372973587987986,0.08497298117317316,0.10621622646646645,moderate_modernization
KAIKOURA DISTRICT,60.350164344238564,381984.3013837416,8.306761352414508,104888.9030411401,0.3819843013837416,0.1048889030411401,0.003146667091234203,0.004195556121645605,0.005244445152057005,moderate_modernization
KAIPARA DISTRICT,296.0282722047645,1937902.0115400665,44.12223949257174,558612.5303998056,1.9379020115400665,0.5586125303998056,0.016758375911994167,0.022344501215992227,0.027930626519990284,moderate_modernization
KAPITI COAST DISTRICT,119.08142340566626,745500.8267812424,16.459317314879435,209688.1076018145,0.7455008267812424,0.2096881076018145,0.006290643228054435,0.00838752430407258,0.010484405380090727,moderate_modernization
KAWERAU DISTRICT,5.028401204787997,29377.79459490565,0.5322607316602835,6823.563507552572,0.029377794594905648,0.006823563507552572,0.00020470690522657716,0.0002729425403021029,0.00034117817537762863,moderate_modernization
LOWER HUTT CITY,39.26108811759057,267927.18173231755,6.787223268804068,86780.29649578533,0.26792718173231755,0.08678029649578532,0.00260340889487356,0.003471211859831413,0.004339014824789267,moderate_modernization
MACKENZIE DISTRICT,187.65783566349475,1319837.2976190166,35.8929534363028,457673.22006291366,1.3198372976190167,0.45767322006291367,0.01373019660188741,0.018306928802516546,0.022883661003145685,moderate_modernization
MANAWATU DISTRICT,383.8805722953613,2720834.679463043,75.61786521844898,966103.5926533294,2.7208346794630427,0.9661035926533293,0.02898310777959988,0.03864414370613317,0.04830517963266647,moderate_modernization
MARLBOROUGH DISTRICT,1412.8133844334366,10285705.768234024,301.32614323486246,3865682.392465103,10.285705768234024,3.865682392465103,0.11597047177395309,0.15462729569860412,0.19328411962325515,moderate_modernization
MASTERTON DISTRICT,197.97359628602888,1351928.810975233,34.56729267249523,441294.91931092914,1.351928810975233,0.4412949193109291,0.013238847579327874,0.017651796772437167,0.02206474596554646,moderate_modernization
MATAMATA-PIAKO DISTRICT,1090.8343014353588,7744002.889019983,215.55291214821597,2761860.0435949666,7.744002889019983,2.7618600435949667,0.08285580130784899,0.11047440174379866,0.13809300217974835,moderate_modernization
NAPIER CITY,238.36879350756354,1658652.0954551727,44.67783824319163,570618.4557944594,1.6586520954551727,0.5706184557944595,0.017118553673833782,0.02282473823177838,0.02853092278972297,moderate_modernization
NELSON CITY,111.5593393164607,736922.7293348853,18.113858946111165,231196.25245261693,0.7369227293348852,0.23119625245261693,0.0069358875735785076,0.009247850098104677,0.011559812622630847,moderate_modernization
NEW PLYMOUTH DISTRICT,522.9005177726485,3404316.664032081,76.60475748529636,969725.9380432786,3.404316664032081,0.9697259380432787,0.029091778141298357,0.03878903752173114,0.04848629690216394,moderate_modernization
OPOTIKI DISTRICT,117.95395062300415,780837.5454449016,19.069317385911443,242610.61494230537,0.7808375454449016,0.24261061494230537,0.007278318448269161,0.009704424597692215,0.01213053074711527,moderate_modernization
OTOROHANGA DISTRICT,268.179886942269,1867926.9303823388,51.28957681345938,656788.8338392316,1.867926930382339,0.6567888338392316,0.01970366501517695,0.026271553353569267,0.03283944169196158,moderate_modernization
PALMERSTON NORTH CITY,742.2436245459618,5151326.998569119,138.86818543542117,1780735.439847501,5.151326998569119,1.780735439847501,0.05342206319542503,0.07122941759390004,0.08903677199237506,moderate_modernization
PORIRUA CITY,50.55938805328531,363060.91835588193,10.05381578454536,129028.9124788747,0.36306091835588195,0.1290289124788747,0.0038708673743662408,0.005161156499154988,0.006451445623943735,moderate_modernization
QUEENSTOWN-LAKES DISTRICT,210.08311626201117,1451011.1671074436,37.430029501521695,476279.3860141375,1.4510111671074435,0.4762793860141375,0.014288381580424125,0.0190511754405655,0.023813969300706873,moderate_modernization
RANGITIKEI DISTRICT,352.959699402742,2501185.8383714887,70.82962298921649,909126.2996018428,2.5011858383714887,0.9091262996018428,0.027273788988055284,0.036365051984073714,0.04545631498009214,moderate_modernization
