tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
OTOROHANGA DISTRICT,268.179886942269,1753482.9923406693,36.48833496016243,454731.6921786621,1.7534829923406692,0.4547316921786621,0.0136419507653598,0.0181892676871464,0.0227365846089331,baseline_current_structure,1.7534829923406692,0.0181892676871464,0.0,0.0
PALMERSTON NORTH CITY,742.2436245459617,4810163.628036168,99.01126400608716,1236150.1508692638,4.810163628036168,1.2361501508692638,0.0370845045260779,0.0494460060347705,0.0618075075434631,baseline_current_structure,4.810163628036168,0.0494460060347705,0.0,0.0
PORIRUA CITY,50.5593880532853,341379.92323208926,7.130150018078263,89261.12524634492,0.3413799232320892,0.0892611252463449,0.0026778337573903,0.0035704450098537,0.0044630562623172,baseline_current_structure,0.3413799232320892,0.0035704450098537,0.0,0.0
QUEENSTOWN-LAKES DISTRICT,210.0831162620112,1359259.2702183127,25.87558088004898,321181.1112077174,1.3592592702183128,0.3211811112077173,0.0096354333362315,0.0128472444483086,0.0160590555603858,baseline_current_structure,1.3592592702183128,0.0128472444483086,0.0,0.0
RANGITIKEI DISTRICT,352.959699402742,2337476.6882684147,50.92448465913343,635514.4188864813,2.337476688268415,0.6355144188864813,0.0190654325665944,0.0254205767554592,0.031775720944324,baseline_current_structure,2.337476688268415,0.0254205767554592,0.0,0.0
ROTORUA DISTRICT,429.4056990569468,2966561.0073546087,68.96938542879732,860055.4434009755,2.966561007354609,0.8600554434009755,0.0258016633020292,0.034402217736039,0.0430027721700487,baseline_current_structure,2.966561007354609,0.034402217736039,0.0,0.0
RUAPEHU DISTRICT,165.24533955955798,1055271.27113511,20.494995239665712,255249.64309591497,1.05527127113511,0.2552496430959149,0.0076574892928774,0.0102099857238365,0.0127624821547957,baseline_current_structure,1.05527127113511,0.0102099857238365,0.0,0.0
SELWYN DISTRICT,605.2736196007075,3797852.398273555,72.18360986823642,898637.2111773636,3.7978523982735553,0.8986372111773636,0.0269591163353209,0.0359454884470945,0.0449318605588681,baseline_current_structure,3.7978523982735553,0.0359454884470945,0.0,0.0
SOUTH TARANAKI DISTRICT,554.135716787623,3536371.3063141634,67.94448954206935,844696.6592930361,3.5363713063141637,0.8446966592930361,0.025340899778791,0.0337878663717214,0.0422348329646518,baseline_current_structure,3.5363713063141637,0.0337878663717214,0.0,0.0
SOUTH WAIKATO DISTRICT,382.209602586904,2628109.140136822,59.80476475797972,743875.7337937363,2.628109140136822,0.7438757337937363,0.022316272013812,0.0297550293517494,0.0371937866896868,baseline_current_structure,2.628109140136822,0.0297550293517494,0.0,0.0
SOUTH WAIRARAPA DISTRICT,181.1856184224424,1186689.7250214266,23.114270600314335,287562.95679299626,1.1866897250214266,0.2875629567929962,0.0086268887037898,0.0115025182717198,0.0143781478396498,baseline_current_structure,1.1866897250214266,0.0115025182717198,0.0,0.0
SOUTHLAND DISTRICT,1365.854155895003,9068056.144146442,193.2440866407848,2406377.149189037,9.068056144146444,2.4063771491890367,0.072191314475671,0.0962550859675614,0.1203188574594518,baseline_current_structure,9.068056144146444,0.0962550859675614,0.0,0.0
STRATFORD DISTRICT,177.67941822812466,1121563.5026361323,20.67162743311976,256512.7343629505,1.1215635026361326,0.2565127343629505,0.0076953820308885,0.010260509374518,0.0128256367181475,baseline_current_structure,1.1215635026361326,0.010260509374518,0.0,0.0
TARARUA DISTRICT,378.7291616759216,2451797.34571993,51.53679378151237,642865.4950471334,2.4517973457199296,0.6428654950471334,0.019285964851414,0.0257146198018853,0.0321432747523566,baseline_current_structure,2.4517973457199296,0.0257146198018853,0.0,0.0
TASMAN DISTRICT,867.4433169845639,5331595.61090429,93.46265583431956,1161143.368064119,5.33159561090429,1.161143368064119,0.0348343010419235,0.0464457347225647,0.0580571684032059,baseline_current_structure,5.33159561090429,0.0464457347225647,0.0,0.0
TAUPO DISTRICT,263.894756075808,1831842.4403939235,43.10634557608136,537643.9729611243,1.8318424403939235,0.5376439729611243,0.0161293191888337,0.0215057589184449,0.0268821986480562,baseline_current_structure,1.8318424403939235,0.0215057589184449,0.0,0.0
TAURANGA CITY,382.9281411902174,2538127.453650063,57.075261007279046,713739.9696356533,2.538127453650063,0.7137399696356533,0.0214121990890696,0.0285495987854261,0.0356869984817826,baseline_current_structure,2.538127453650063,0.0285495987854261,0.0,0.0
THAMES-COROMANDEL DISTRICT,244.27677480252848,1538580.289824006,28.66089862058092,356823.7344685892,1.5385802898240062,0.3568237344685891,0.0107047120340576,0.0142729493787435,0.0178411867234294,baseline_current_structure,1.5385802898240062,0.0142729493787435,0.0,0.0
TIMARU DISTRICT,1073.432502865356,6884044.131514043,134.50010091614618,1672173.8566820326,6.884044131514043,1.6721738566820326,0.0501652157004609,0.0668869542672813,0.0836086928341016,baseline_current_structure,6.884044131514043,0.0668869542672813,0.0,0.0
UPPER HUTT CITY,36.46201007498336,225244.0613573451,3.746558757258056,46264.10662734358,0.2252440613573451,0.0462641066273435,0.0013879231988203,0.0018505642650937,0.0023132053313671,baseline_current_structure,0.2252440613573451,0.0018505642650937,0.0,0.0
WAIKATO DISTRICT,733.0743901278075,4795341.988475543,96.5445692513582,1199300.4475800977,4.795341988475544,1.1993004475800977,0.0359790134274029,0.0479720179032039,0.0599650223790048,baseline_current_structure,4.795341988475544,0.0479720179032039,0.0,0.0
WAIMAKARIRI DISTRICT,504.51979793761245,3047790.030293393,52.42297555158805,652242.3794149911,3.047790030293393,0.6522423794149911,0.0195672713824497,0.0260896951765996,0.0326121189707495,baseline_current_structure,3.047790030293393,0.0260896951765996,0.0,0.0
WAIMATE DISTRICT,363.9401013010853,2351741.345819783,47.854417966733415,596263.9391507102,2.351741345819783,0.5962639391507102,0.0178879181745213,0.0238505575660284,0.0298131969575355,baseline_current_structure,2.351741345819783,0.0238505575660284,0.0,0.0
WAIPA DISTRICT,842.1897176348002,5534265.582287926,112.21557704651268,1397914.1760574244,5.534265582287926,1.3979141760574243,0.0419374252817227,0.0559165670422969,0.0698957088028712,baseline_current_structure,5.534265582287926,0.0559165670422969,0.0,0.0
WAIROA DISTRICT,63.73102903949461,388381.0478057118,6.631125496907936,82223.35315866796,0.3883810478057118,0.0822233531586679,0.00246670059476,0.0032889341263467,0.0041111676579333,baseline_current_structure,0.3883810478057118,0.0032889341263467,0.0,0.0
