tla,weighted_tractor_count,annual_diesel_litres,weighted_scr_tractor_count,scr_diesel_litres,regional_diesel_ml,regional_scr_diesel_ml,def_low_ml,def_central_ml,def_high_ml,scenario_name,baseline_regional_diesel_ml,baseline_def_central_ml,delta_regional_diesel_ml_vs_baseline,delta_def_central_ml_vs_baseline
TASMAN DISTRICT,867.4433169845639,5496892.677175912,105.6446124742268,1328842.860916157,5.496892677175912,1.328842860916157,0.0398652858274847,0.0531537144366462,0.0664421430458078,delayed_replacement,5.33159561090429,0.0464457347225647,0.16529706627162177,0.006707979714081505
GORE DISTRICT,621.7518611502517,4248267.7461535,99.05468129968294,1248246.2343150035,4.2482677461535,1.2482462343150038,0.0374473870294501,0.0499298493726001,0.0624123117157501,delayed_replacement,4.124921625298517,0.0437915890071769,0.12334612085498353,0.006138260365423205
AUCKLAND,2522.8001626490627,17758186.245883647,502.82427609861816,6458603.610602556,17.758186245883646,6.458603610602556,0.1937581083180766,0.2583441444241022,0.3229301805301278,moderate_modernization,16.627994866371708,0.1811289701290834,1.1301913795119383,0.07721517429501878
ASHBURTON DISTRICT,1768.537907490089,12343465.21835919,337.4078583284431,4318254.761080459,12.343465218359189,4.318254761080459,0.1295476428324137,0.1727301904432183,0.2159127380540229,moderate_modernization,11.548300232706268,0.1194015038634313,0.7951649856529208,0.053328686579786996
MARLBOROUGH DISTRICT,1412.8133844334366,10285705.768234024,301.32614323486246,3865682.392465103,10.285705768234024,3.865682392465103,0.115970471773953,0.1546272956986041,0.1932841196232551,moderate_modernization,9.615131293152665,0.1080581282240769,0.6705744750813594,0.04656916747452719
SOUTHLAND DISTRICT,1365.854155895003,9691539.430016791,271.7751707080812,3478337.1383301904,9.691539430016793,3.47833713833019,0.1043501141499057,0.1391334855332076,0.1739168569165095,moderate_modernization,9.068056144146444,0.0962550859675614,0.6234832858703481,0.042878399565646194
MATAMATA-PIAKO DISTRICT,1090.8343014353588,7744002.889019983,215.552912148216,2761860.043594966,7.744002889019983,2.7618600435949667,0.0828558013078489,0.1104744017437986,0.1380930021797483,moderate_modernization,7.232557854348387,0.0765633172250073,0.5114450346715964,0.03391108451879131
TIMARU DISTRICT,1073.432502865356,7355721.816843451,191.95962004549904,2449422.505779448,7.355721816843451,2.449422505779448,0.0734826751733834,0.0979769002311779,0.1224711252889724,moderate_modernization,6.884044131514043,0.0668869542672813,0.471677685329408,0.031089945963896595
HAMILTON CITY,861.3882938515482,6216272.544886762,182.160120659909,2341519.946941412,6.216272544886762,2.341519946941412,0.0702455984082423,0.0936607978776564,0.1170759973470706,moderate_modernization,5.809363233345271,0.0658685064219831,0.406909311541491,0.0277922914556733
CHRISTCHURCH CITY,910.2324161618304,6285738.475479837,171.84664229539868,2206296.9193271208,6.285738475479836,2.2062969193271207,0.0661889075798136,0.0882518767730848,0.110314845966356,moderate_modernization,5.884893087787285,0.0616434163649525,0.4008453876925513,0.0266084604081323
