region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
WHANGANUI DISTRICT,accelerated_modernization,2028,168.72028742620813,1.1315161132033393,0.37615494101276414,0.01504619764051055,0.011284648230382924,0.01880774705063821
WHANGAREI DISTRICT,accelerated_modernization,2028,622.495108327109,4.419665263720669,1.6432077744359974,0.06572831097743985,0.04929623323307992,0.08216038872179987
,accelerated_modernization,2028,97.84078115561144,0.7133370267673526,0.28022970517907225,0.01120918820716285,0.008406891155372168,0.014011485258953613
ASHBURTON DISTRICT,accelerated_modernization,2029,1768.5080689293272,12.71435311012709,4.984863343327796,0.1993945337331118,0.1495459002998339,0.24924316716638983
AUCKLAND,accelerated_modernization,2029,2522.76204371153,18.294457394168674,7.423793289290292,0.2969517315716117,0.22271379867870875,0.3711896644645146
BULLER DISTRICT,accelerated_modernization,2029,110.99495473548879,0.8227464768419045,0.33569116867081633,0.013427646746832625,0.01007073506012449,0.016784558433540816
CARTERTON DISTRICT,accelerated_modernization,2029,126.71661852394695,0.9130236193287449,0.3465969604881191,0.0138638784195247,0.010397908814643572,0.017329848024405955
CENTRAL HAWKE'S BAY DISTRICT,accelerated_modernization,2029,211.99720601668133,1.5519351314823608,0.6274161599263824,0.025096646397055226,0.018822484797791472,0.031370807996319125
CENTRAL OTAGO DISTRICT,accelerated_modernization,2029,466.69601658667455,3.3921147731117576,1.3414331400141315,0.05365732560056525,0.040242994200423945,0.06707165700070658
CHRISTCHURCH CITY,accelerated_modernization,2029,910.2176658252007,6.471791914734714,2.5389026744287753,0.10155610697715095,0.07616708023286325,0.12694513372143876
CLUTHA DISTRICT,accelerated_modernization,2029,536.8701859773207,3.8616872905811785,1.4926173463982466,0.0597046938559298,0.04477852039194739,0.07463086731991234
DUNEDIN CITY,accelerated_modernization,2029,429.1956946895335,2.979994767892614,1.0736885873220787,0.04294754349288315,0.03221065761966236,0.05368442936610394
FAR NORTH DISTRICT,accelerated_modernization,2029,412.2132110146639,2.7643276181956775,0.9160655745588107,0.03664262298235238,0.02748196723676432,0.04580327872794054
