region_key,annual_diesel_litres,active_licensed_count_geo_cohort,scr_diesel_litres,def_low_litres,def_central_litres,def_high_litres,diesel_litres_stage_v,diesel_litres_tier_1,diesel_litres_tier_2,diesel_litres_tier_3,diesel_litres_tier_4f,diesel_litres_tier_4i,diesel_litres_unregulated,regional_active_licensed_count,regional_diesel_litres,regional_diesel_ml,regional_scr_diesel_litres,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central
CLUTHA DISTRICT,3503162.937645409,536.8436572920551,883958.5262500417,26518.75578750125,35358.34105000167,44197.92631250209,232995.7843574031,43110.84887295876,299583.85009989707,1690486.7556003276,650962.7418926386,454356.6373853923,131666.31943679156,536.8436572920551,3503162.937645409,3.503162937645409,883958.5262500417,0.8839585262500417,0.03535834105000167,0.017176250132673505,0.01718921812547571,0.016837297145210484
NEW PLYMOUTH DISTRICT,3186451.35092871,522.8698128912623,637134.0157966004,19114.02047389801,25485.360631864016,31856.70078983002,163571.29639094393,78540.39312589588,350404.4182215103,1573602.4405213178,473562.7194056565,356322.2183728331,190447.8648905524,522.8698128912623,3186451.35092871,3.18645135092871,637134.0157966004,0.6371340157966003,0.025485360631864015,0.016729158612669756,0.015635186913157063,0.012135880164873386
GISBORNE DISTRICT,3139883.170848878,499.9477273352256,732972.0002837434,21989.1600085123,29318.88001134973,36648.60001418717,193729.12693915985,81385.325937323,289468.670177198,1482533.6119800075,539242.8733445837,376390.57256334793,177132.9899072582,499.9477273352256,3139883.170848878,3.139883170848878,732972.0002837434,0.7329720002837433,0.029318880011349732,0.015995769161709292,0.015406687520080961,0.013961364703671363
CENTRAL OTAGO DISTRICT,3072535.368262651,466.6735547544266,798846.9146038337,23965.40743811501,31953.87658415335,39942.345730191686,209715.1806728596,36303.33748936451,256922.42196987488,1475411.5927857668,589131.733930974,408071.3361545613,96979.76525924982,466.6735547544266,3072535.368262651,3.072535368262651,798846.9146038337,0.7988469146038337,0.03195387658415335,0.014931165895111271,0.015076227278998303,0.015216124371557525
WAIMAKARIRI DISTRICT,3047790.0302933934,504.4931447955505,652242.3794149912,19567.271382449737,26089.69517659965,32612.118970749565,173445.86649708485,70696.51350355554,315506.606494062,1392160.6483510495,478796.5129179064,337869.6226083669,279314.2599213681,504.4931447955505,3047790.0302933934,3.0477900302933936,652242.3794149912,0.6522423794149912,0.026089695176599648,0.016141199262625038,0.014954807573574017,0.012423658380781195
ROTORUA DISTRICT,2966561.0073546087,429.3775589953328,860055.4434009755,25801.663302029265,34402.21773603902,43002.77217004878,232583.74894702123,23968.535485234723,184336.91842879317,1422862.288609277,627471.6944539542,416606.5568809948,58731.26454933353,429.3775589953328,2966561.0073546087,2.966561007354609,860055.4434009755,0.8600554434009755,0.03440221773603902,0.01373788486551568,0.01455623536375482,0.016382000548520983
DUNEDIN CITY,2710703.263443168,429.1766313633356,624952.5973593087,18748.577920779266,24998.10389437235,31247.62986796544,163546.3420684748,54328.0051163485,254901.5442892041,1308384.9461439196,461406.255290834,329314.5324675788,138821.63806680776,429.1766313633356,2710703.263443168,2.710703263443168,624952.5973593087,0.6249525973593087,0.02499810389437235,0.013731456209390437,0.013300800019333786,0.011903853258872586
SOUTH WAIKATO DISTRICT,2628109.140136822,382.18327962106935,743875.7337937362,22316.27201381209,29755.02935174945,37193.786689686814,197394.02477928463,30227.38367870821,160217.841292405,1273723.780367781,546481.7090144516,371086.06490577786,48978.336098413936,382.18327962106935,2628109.140136822,2.628109140136822,743875.7337937362,0.7438757337937362,0.02975502935174945,0.012227909407385927,0.012895529574691134,0.01416905476564607
MANAWATU DISTRICT,2545036.6168247657,383.8542421377172,665006.6250174436,19950.198750523305,26600.265000697746,33250.33125087218,175604.3741607728,31040.218773640125,196703.18181032533,1230971.096114535,489402.2508566707,339453.5759947406,81861.91911408142,383.8542421377172,2545036.6168247657,2.5450366168247656,665006.6250174436,0.6650066250174436,0.026600265000697745,0.012281371658002874,0.012487911730799358,0.012666786751242939
TAURANGA CITY,2538127.453650063,382.90321117359457,713739.9696356533,21412.1990890696,28549.598785426133,35686.99848178267,197005.1730666317,36526.87063317867,182613.3610320472,1144524.535699331,516734.79656902165,336174.005164757,124548.7114850958,382.90321117359457,2538127.453650063,2.538127453650063,713739.9696356533,0.7137399696356533,0.028549598785426133,0.012250943533349067,0.012454010049664796,0.013595040486967004
FAR NORTH DISTRICT,2508542.869588297,412.1981170378139,523738.2333738451,15712.147001215351,20949.529334953804,26186.911668692257,136472.32964441745,75654.82155347179,294915.6012790158,1214809.7287840128,387265.90372942766,280096.1332068758,119328.3513910754,412.1981170378139,2508542.869588297,2.5085428695882968,523738.2333738451,0.5237382333738451,0.020949529334953806,0.01318823062597316,0.01230884527210781,0.009975961540902223
TARARUA DISTRICT,2451797.34571993,378.705649823266,642865.4950471334,19285.964851414003,25714.619801885336,32143.274752356672,174239.79716107465,49481.46363833932,213372.30466137463,1130202.7771407,468625.6978860587,313511.7669397235,102363.53829265888,378.705649823266,2451797.34571993,2.4517973457199296,642865.4950471334,0.6428654950471334,0.025714619801885337,0.012116643048056637,0.012030407984211247,0.01224505114558921
HOROWHENUA DISTRICT,2420545.2086886894,382.0303802628414,573893.0408663431,17216.79122599029,22955.721634653724,28694.652043317157,150517.8723659212,41129.559586875184,231728.1693350396,1152033.347185546,423375.1685004219,299872.841181227,121888.25053365833,382.0303802628414,2420545.2086886894,2.4205452086886896,573893.0408663431,0.5738930408663431,0.022955721634653724,0.012223017410272102,0.011877060906190857,0.010931290746893892
WAIMATE DISTRICT,2351741.345819783,363.9157421872828,596263.9391507102,17887.918174521306,23850.55756602841,29813.196957535514,160280.87129458203,53383.08406901102,195407.7111055667,1107004.1136214433,435983.0678561282,299077.93495089334,100604.56292215853,363.9157421872828,2351741.345819783,2.351741345819783,596263.9391507102,0.5962639391507102,0.02385055756602841,0.011643441680127304,0.01153945611081589,0.011357402889753208
RANGITIKEI DISTRICT,2337476.6882684147,352.9365159755315,635514.4188864813,19065.43256659444,25420.576755459253,31775.720944324068,172817.74703327235,30908.132821234554,183812.85046890893,1092907.2570264498,462696.671853209,308027.5331771075,86306.49588823288,352.9365159755315,2337476.6882684147,2.337476688268415,635514.4188864813,0.6355144188864813,0.025420576755459254,0.011292162619427417,0.01146946270357218,0.01210503071479022
