region_key,scenario_name,year,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,def_low_ml,def_high_ml
HASTINGS DISTRICT,delayed_replacement,2030,771.7659136619546,5.4197885593323285,1.7900629768571754,0.071602519074287,0.05370188930571526,0.08950314884285877
CHRISTCHURCH CITY,delayed_replacement,2030,910.2324161618304,6.065918013082092,1.7500486558594155,0.0700019462343766,0.052501459675782465,0.08750243279297078
INVERCARGILL CITY,delayed_replacement,2030,845.9160075431453,5.76085987219695,1.6745799379451909,0.0669831975178076,0.050237398138355725,0.08372899689725954
WAIPA DISTRICT,delayed_replacement,2030,842.1897176348002,5.705270766894052,1.595163179560758,0.0638065271824303,0.047854895386822735,0.0797581589780379
PALMERSTON NORTH CITY,delayed_replacement,2030,742.2436245459618,4.966175545813626,1.404574946131331,0.0561829978452532,0.04213724838393993,0.07022874730656656
WAIKATO DISTRICT,delayed_replacement,2030,733.0743901278075,4.945939038371115,1.3715800497767392,0.0548632019910695,0.04114740149330218,0.06857900248883696
TASMAN DISTRICT,delayed_replacement,2030,867.4433169845639,5.496892677175912,1.328842860916157,0.0531537144366462,0.03986528582748471,0.06644214304580785
WHANGAREI DISTRICT,delayed_replacement,2030,622.5160584335971,4.26586789020657,1.3134391471697728,0.0525375658867909,0.03940317441509318,0.06567195735848864
AUCKLAND,moderate_modernization,2030,2522.8001626490627,17.758186245883646,6.458603610602556,0.2583441444241022,0.1937581083180767,0.32293018053012784
ASHBURTON DISTRICT,moderate_modernization,2030,1768.537907490089,12.343465218359189,4.318254761080459,0.1727301904432183,0.12954764283241377,0.21591273805402295
MARLBOROUGH DISTRICT,moderate_modernization,2030,1412.8133844334366,10.285705768234024,3.865682392465103,0.1546272956986041,0.11597047177395309,0.19328411962325517
SOUTHLAND DISTRICT,moderate_modernization,2030,1365.854155895003,9.691539430016793,3.47833713833019,0.1391334855332076,0.1043501141499057,0.17391685691650952
MATAMATA-PIAKO DISTRICT,moderate_modernization,2030,1090.8343014353588,7.744002889019983,2.7618600435949667,0.1104744017437986,0.082855801307849,0.13809300217974835
TIMARU DISTRICT,moderate_modernization,2030,1073.432502865356,7.355721816843451,2.449422505779448,0.0979769002311779,0.07348267517338343,0.1224711252889724
HAMILTON CITY,moderate_modernization,2030,861.3882938515482,6.216272544886762,2.341519946941412,0.0936607978776564,0.07024559840824235,0.1170759973470706
HASTINGS DISTRICT,moderate_modernization,2030,771.7659136619548,5.626053142419158,2.220460951401858,0.0888184380560743,0.06661382854205573,0.1110230475700929
CHRISTCHURCH CITY,moderate_modernization,2030,910.2324161618304,6.285738475479836,2.2062969193271207,0.0882518767730848,0.06618890757981362,0.11031484596635605
INVERCARGILL CITY,moderate_modernization,2030,845.9160075431454,5.970750790352037,2.124324529329329,0.0849729811731731,0.06372973587987986,0.10621622646646645
WAIPA DISTRICT,moderate_modernization,2030,842.1897176348002,5.9134683588284975,2.038440873249095,0.0815376349299638,0.06115322619747284,0.10192204366245475
PALMERSTON NORTH CITY,moderate_modernization,2030,742.2436245459618,5.151326998569119,1.780735439847501,0.0712294175939,0.05342206319542503,0.08903677199237506
WAIKATO DISTRICT,moderate_modernization,2030,733.0743901278074,5.1281715963164745,1.756742911321561,0.0702697164528624,0.052702287339646825,0.08783714556607805
TASMAN DISTRICT,moderate_modernization,2030,867.4433169845639,5.685394603051171,1.7209044633219168,0.0688361785328766,0.0516271338996575,0.08604522316609585
